Order ID,Order Date,Month,Customer Name,Gender,Region,City,Category,Product Name,Brand,Size,Color,Units Sold,Unit Price,Discount %,Total Sales,Profit,Payment Mode,Delivery Status
ORD10007,2025-12-02,Dec,Customer_7,Men,East,Bhubaneswar,Bags,Backpack,H&M,M,Green,4,3740,25,11220.0,2684.96,Wallet,Delivered
ORD10008,2025-03-12,Mar,Customer_8,Men,East,Bhubaneswar,Dresses,Casual Dress,Roadster,M,Pink,5,4541,0,22705.0,7186.21,Wallet,Delivered
ORD10018,2025-08-05,Aug,Customer_18,Men,West,Ahmedabad,Shirts,Linen Shirt,Levis,Free Size,Black,5,4485,5,21303.75,3608.29,Cash,Delivered
ORD10020,2025-08-03,Aug,Customer_20,Unisex,North,Delhi,Jackets,Bomber Jacket,Tommy Hilfiger,L,Red,5,4781,10,21514.5,7810.27,Cash,Delivered
ORD10031,2025-06-03,Jun,Customer_31,Unisex,East,Kolkata,Jeans,Cargo Jeans,Puma,L,White,5,3032,25,11370.0,2571.69,Card,Delivered
ORD10036,2025-11-10,Nov,Customer_36,Men,East,Guwahati,Caps,Baseball Cap,Allen Solly,XL,Brown,5,3994,30,13979.0,4973.48,Cash,Delivered
ORD10038,2025-02-02,Feb,Customer_38,Men,South,Chennai,Shoes,Sneakers,Roadster,M,Pink,4,3838,10,13816.8,3607.27,Net Banking,Delivered
ORD10039,2025-06-02,Jun,Customer_39,Unisex,North,Lucknow,Shirts,Linen Shirt,Allen Solly,M,Brown,4,3931,20,12579.2,790.86,Card,Returned
ORD10044,2025-10-22,Oct,Customer_44,Unisex,North,Lucknow,Bags,Backpack,Tommy Hilfiger,M,Blue,4,3748,25,11244.0,385.82,Cash,Returned
ORD10046,2025-04-01,Apr,Customer_46,Women,South,Kochi,Watches,Sports Watch,Allen Solly,XL,Pink,5,2711,20,10844.0,715.99,Wallet,Returned
ORD10051,2025-10-29,Oct,Customer_51,Men,West,Ahmedabad,Shoes,Sneakers,H&M,L,White,5,2817,0,14085.0,4739.37,Cash,Delivered
ORD10056,2025-12-28,Dec,Customer_56,Unisex,South,Hyderabad,Caps,Beanie,Nike,Free Size,Red,3,4218,0,12654.0,3780.0,Net Banking,Delivered
ORD10058,2025-09-14,Sep,Customer_58,Women,West,Ahmedabad,Jeans,Regular Jeans,Levis,L,Green,5,4544,15,19312.0,2721.35,UPI,Delivered
ORD10062,2025-04-15,Apr,Customer_62,Unisex,West,Mumbai,Watches,Sports Watch,Allen Solly,XL,Blue,3,4998,5,14244.3,5144.97,UPI,Delivered
ORD10073,2025-01-12,Jan,Customer_73,Unisex,East,Patna,Dresses,Casual Dress,Puma,S,Brown,4,2747,0,10988.0,587.07,Cash,Cancelled
ORD10078,2025-12-25,Dec,Customer_78,Women,North,Chandigarh,Watches,Sports Watch,H&M,XL,Blue,3,3843,0,11529.0,1802.47,UPI,Delivered
ORD10079,2025-07-09,Jul,Customer_79,Women,West,Indore,Jackets,Bomber Jacket,Zara,S,Brown,5,3932,20,15728.0,4922.71,Wallet,Delivered
