Order ID,Order Date,Month,Customer Name,Gender,Region,City,Category,Product Name,Brand,Size,Color,Units Sold,Unit Price,Discount %,Total Sales,Profit,Payment Mode,Delivery Status
ORD10001,2025-03-13,Mar,Customer_1,Men,South,Chennai,Jeans,Slim Jeans,Levis,S,Red,1,4966,0,4966.0,1358.34,Card,Delivered
ORD10002,2025-08-18,Aug,Customer_2,Unisex,West,Pune,Shirts,Casual Shirt,Fastrack,XL,Grey,5,2777,30,9719.5,3363.12,Cash,Delivered
ORD10003,2025-07-14,Jul,Customer_3,Men,North,Delhi,Shoes,Sneakers,Puma,XL,Blue,1,3439,30,2407.3,504.16,Net Banking,Delivered
ORD10004,2025-12-27,Dec,Customer_4,Men,East,Bhubaneswar,Jeans,Cargo Jeans,Levis,M,Blue,1,874,25,655.5,117.5,Net Banking,Delivered
ORD10005,2025-07-01,Jul,Customer_5,Men,South,Hyderabad,Bags,Travel Bag,Puma,Free Size,White,2,2686,25,4029.0,292.93,Wallet,Cancelled
ORD10006,2025-11-24,Nov,Customer_6,Men,West,Ahmedabad,Jackets,Denim Jacket,Allen Solly,S,Grey,5,2298,25,8617.5,1760.67,Net Banking,Delivered
ORD10007,2025-12-02,Dec,Customer_7,Men,East,Bhubaneswar,Bags,Backpack,H&M,M,Green,4,3740,25,11220.0,2684.96,Wallet,Delivered
ORD10008,2025-03-12,Mar,Customer_8,Men,East,Bhubaneswar,Dresses,Casual Dress,Roadster,M,Pink,5,4541,0,22705.0,7186.21,Wallet,Delivered
ORD10009,2025-10-11,Oct,Customer_9,Unisex,West,Ahmedabad,Jeans,Regular Jeans,Roadster,L,Blue,1,1437,25,1077.75,377.26,Cash,Delivered
ORD10010,2025-09-14,Sep,Customer_10,Unisex,North,Lucknow,Dresses,Maxi Dress,Allen Solly,Free Size,Red,2,4657,0,9314.0,3225.76,Card,Delivered
ORD10011,2025-09-08,Sep,Customer_11,Men,North,Lucknow,Watches,Analog Watch,Fastrack,S,Red,1,1415,10,1273.5,443.77,Wallet,Delivered
ORD10012,2025-03-07,Mar,Customer_12,Women,North,Jaipur,Jeans,Slim Jeans,Allen Solly,M,Red,4,1851,10,6663.6,342.77,Cash,Returned
ORD10013,2025-03-03,Mar,Customer_13,Unisex,West,Indore,Dresses,Casual Dress,Puma,M,Red,2,2339,0,4678.0,194.51,UPI,Returned
ORD10014,2025-01-17,Jan,Customer_14,Women,South,Bangalore,Jeans,Cargo Jeans,Nike,M,White,3,1079,20,2589.6,94.2,Wallet,Cancelled
ORD10015,2025-02-18,Feb,Customer_15,Unisex,West,Pune,Caps,Baseball Cap,Allen Solly,S,Blue,1,4030,10,3627.0,834.68,UPI,Delivered
ORD10016,2025-04-09,Apr,Customer_16,Women,North,Jaipur,Dresses,Casual Dress,Puma,XL,Red,2,4892,15,8316.4,1301.08,UPI,Delivered
ORD10017,2025-02-17,Feb,Customer_17,Women,North,Delhi,Caps,Snapback Cap,Adidas,S,White,2,1861,15,3163.7,779.11,Net Banking,Delivered
ORD10018,2025-08-05,Aug,Customer_18,Men,West,Ahmedabad,Shirts,Linen Shirt,Levis,Free Size,Black,5,4485,5,21303.75,3608.29,Cash,Delivered
ORD10019,2025-01-30,Jan,Customer_19,Men,West,Pune,Shirts,Formal Shirt,Tommy Hilfiger,M,Pink,5,1155,30,4042.5,136.08,UPI,Returned
ORD10020,2025-08-03,Aug,Customer_20,Unisex,North,Delhi,Jackets,Bomber Jacket,Tommy Hilfiger,L,Red,5,4781,10,21514.5,7810.27,Cash,Delivered
ORD10021,2025-02-07,Feb,Customer_21,Men,West,Ahmedabad,Dresses,Maxi Dress,Levis,Free Size,Red,1,4253,20,3402.4,1291.54,Wallet,Delivered
ORD10022,2025-07-09,Jul,Customer_22,Women,North,Jaipur,Bags,Handbag,Puma,Free Size,Black,3,1791,15,4567.05,307.61,Wallet,Cancelled
ORD10023,2025-02-24,Feb,Customer_23,Unisex,East,Kolkata,Bags,Backpack,Zara,L,Red,5,1772,10,7974.0,1541.03,Cash,Delivered
ORD10024,2025-05-22,May,Customer_24,Women,North,Chandigarh,Caps,Beanie,Nike,M,Brown,1,528,10,475.2,30.46,Wallet,Cancelled
ORD10025,2025-12-20,Dec,Customer_25,Unisex,North,Delhi,Dresses,Casual Dress,Nike,M,Pink,2,4968,0,9936.0,669.68,Card,Returned
ORD10026,2025-04-18,Apr,Customer_26,Unisex,North,Lucknow,Shirts,Polo Shirt,Puma,M,Red,2,1341,10,2413.8,779.25,Card,Delivered
ORD10027,2025-07-30,Jul,Customer_27,Women,South,Hyderabad,Shoes,Sandals,Nike,S,Brown,2,2684,5,5099.6,1655.93,Card,Delivered
ORD10028,2025-04-25,Apr,Customer_28,Women,East,Bhubaneswar,Jackets,Winter Jacket,Puma,L,Pink,1,2081,15,1768.85,363.23,Wallet,Delivered
ORD10029,2025-10-25,Oct,Customer_29,Unisex,East,Bhubaneswar,Watches,Analog Watch,Adidas,L,Pink,3,812,0,2436.0,670.16,Wallet,Delivered
ORD10030,2025-01-23,Jan,Customer_30,Unisex,South,Hyderabad,Jeans,Regular Jeans,Tommy Hilfiger,M,Grey,4,512,20,1638.4,118.18,Net Banking,Returned
ORD10031,2025-06-03,Jun,Customer_31,Unisex,East,Kolkata,Jeans,Cargo Jeans,Puma,L,White,5,3032,25,11370.0,2571.69,Card,Delivered
ORD10032,2025-07-27,Jul,Customer_32,Unisex,South,Hyderabad,Dresses,Casual Dress,Roadster,Free Size,Grey,5,502,10,2259.0,439.6,Net Banking,Delivered
ORD10033,2025-12-04,Dec,Customer_33,Women,West,Pune,Caps,Beanie,H&M,S,Red,1,2823,20,2258.4,132.16,Cash,Returned
ORD10034,2025-05-06,May,Customer_34,Unisex,North,Delhi,Jackets,Denim Jacket,Zara,M,Pink,4,1095,15,3723.0,169.59,Net Banking,Cancelled
ORD10035,2025-08-06,Aug,Customer_35,Women,North,Delhi,Dresses,Maxi Dress,Zara,S,Red,2,1939,30,2714.6,200.38,UPI,Returned
ORD10036,2025-11-10,Nov,Customer_36,Men,East,Guwahati,Caps,Baseball Cap,Allen Solly,XL,Brown,5,3994,30,13979.0,4973.48,Cash,Delivered
ORD10037,2025-05-21,May,Customer_37,Women,West,Pune,Jackets,Bomber Jacket,Levis,L,Blue,4,1133,25,3399.0,660.39,Card,Delivered
